【用户正在购买】,1658114260806,2022-07-18 11:17:40,jd_45a97f83603dc,87号
【用户正在购买】,1658116897594,2022-07-18 12:01:37,侵噬emotiona,147号
【主播推送商品】,1658116911087,2022-07-18 12:01:51,主播,149号
【主播推送商品】,1658116911146,2022-07-18 12:01:51,主播,149号
【主播推送商品】,1658116911413,2022-07-18 12:01:51,主播,149号
【用户正在购买】,1658116926708,2022-07-18 12:02:06,u_3mu8j2wedrv8,144号
【主播结束讲解】,1658116929972,2022-07-18 12:02:09,主播,149
【主播推送商品】,1658116937090,2022-07-18 12:02:17,主播,149号
【主播推送商品】,1658116937237,2022-07-18 12:02:17,主播,149号
【主播推送商品】,1658116937470,2022-07-18 12:02:17,主播,149号
【主播推送商品】,1658116937574,2022-07-18 12:02:17,主播,149号
【主播推送商品】,1658116937759,2022-07-18 12:02:17,主播,149号
【主播推送商品】,1658116937972,2022-07-18 12:02:17,主播,149号
【主播推送商品】,1658116938166,2022-07-18 12:02:18,主播,149号
【用户正在购买】,1658116951451,2022-07-18 12:02:31,jd_414129388,145号
【用户正在购买】,1658116951467,2022-07-18 12:02:31,jd_j5B0HKPOktwOg1W,93号
【主播正在讲解】,1658116955861,2022-07-18 12:02:35,主播,147号
【主播弹幕】,1658116955878,2022-07-18 12:02:35,主播,正在讲解147号宝贝
【主播开始讲解】,1658116955944,2022-07-18 12:02:35,主播,147
【用户正在购买】,1658116991252,2022-07-18 12:03:11,jd_j5B0HKPOktwOg1W,93号
【主播推送商品】,1658117059779,2022-07-18 12:04:19,主播,147号
【主播推送商品】,1658117059798,2022-07-18 12:04:19,主播,147号
【主播推送商品】,1658117060276,2022-07-18 12:04:20,主播,147号
【用户正在购买】,1658117066223,2022-07-18 12:04:26,u_y9uhg9l5lwf4,147号
【主播推送商品】,1658117075341,2022-07-18 12:04:35,主播,147号
【主播推送商品】,1658117075696,2022-07-18 12:04:35,主播,147号
【主播推送商品】,1658117075950,2022-07-18 12:04:35,主播,147号
【用户关注】,1658117081061,2022-07-18 12:04:41,jd_j5B0HKPOktwOg1W
【主播推送商品】,1658117108089,2022-07-18 12:05:08,主播,147号
【主播推送商品】,1658117108237,2022-07-18 12:05:08,主播,147号
【主播推送商品】,1658117117688,2022-07-18 12:05:17,主播,147号
【主播推送商品】,1658117118930,2022-07-18 12:05:18,主播,147号
【主播推送商品】,1658117119654,2022-07-18 12:05:19,主播,147号
【主播推送商品】,1658117120089,2022-07-18 12:05:20,主播,147号
【主播推送商品】,1658117121271,2022-07-18 12:05:21,主播,147号
【主播推送商品】,1658117122426,2022-07-18 12:05:22,主播,147号
【用户正在购买】,1658117131369,2022-07-18 12:05:31,jd_j5B0HKPOktwOg1W,147号
【主播推送商品】,1658117133044,2022-07-18 12:05:33,主播,147号
【主播推送商品】,1658117133191,2022-07-18 12:05:33,主播,147号
【主播推送商品】,1658117134195,2022-07-18 12:05:34,主播,147号
【主播推送商品】,1658117134981,2022-07-18 12:05:34,主播,147号
【主播推送商品】,1658117135189,2022-07-18 12:05:35,主播,147号
【主播推送商品】,1658117135635,2022-07-18 12:05:35,主播,147号
【主播推送商品】,1658117136826,2022-07-18 12:05:36,主播,147号
【主播推送商品】,1658117138335,2022-07-18 12:05:38,主播,147号
【用户正在购买】,1658117157551,2022-07-18 12:05:57,jd_SgFHnJcFrnUY,147号
【实时弹幕】,1658117188575,2022-07-18 12:06:28,jd_7e9c5456c9d52,开心果
【用户正在购买】,1658117208169,2022-07-18 12:06:48,jd_RRksxniSgNrg,147号
【实时弹幕】,1658117210352,2022-07-18 12:06:50,jd_7e9c5456c9d52,这个是几号链接
【用户正在购买】,1658117214779,2022-07-18 12:06:54,chenjiajun87,147号
【用户领券】,1658117227661,2022-07-18 12:07:07,chenjiajun87,领取了一张优惠券
【用户正在购买】,1658117232078,2022-07-18 12:07:12,一生只盼,147号
【主播推送商品】,1658117233084,2022-07-18 12:07:13,主播,147号
【主播推送商品】,1658117233207,2022-07-18 12:07:13,主播,147号
【主播推送商品】,1658117233378,2022-07-18 12:07:13,主播,147号
【主播推送商品】,1658117233646,2022-07-18 12:07:13,主播,147号
【主播结束讲解】,1658117254869,2022-07-18 12:07:34,主播,147
【用户加入购物车】,1658117270145,2022-07-18 12:07:50,jd_7e9c5456c9d52,127号
【用户加入购物车】,1658117281314,2022-07-18 12:08:01,jd_7e9c5456c9d52,147号
【用户关注】,1658117281382,2022-07-18 12:08:01,jd_152705cyv
【主播推送商品】,1658117290093,2022-07-18 12:08:10,主播,147号
【主播推送商品】,1658117290197,2022-07-18 12:08:10,主播,147号
【主播推送商品】,1658117290450,2022-07-18 12:08:10,主播,147号
【主播推送商品】,1658117290714,2022-07-18 12:08:10,主播,147号
【主播推送商品】,1658117291045,2022-07-18 12:08:11,主播,147号
【主播推送商品】,1658117291339,2022-07-18 12:08:11,主播,147号
【主播推送商品】,1658117291747,2022-07-18 12:08:11,主播,147号
【主播推送商品】,1658117292037,2022-07-18 12:08:12,主播,147号
【主播推送商品】,1658117292329,2022-07-18 12:08:12,主播,147号
【用户加入购物车】,1658117298878,2022-07-18 12:08:18,jd_7e9c5456c9d52,127号
【用户正在购买】,1658117312589,2022-07-18 12:08:32,一生只盼,149号
【用户正在购买】,1658117326423,2022-07-18 12:08:46,一生只盼,150号
【用户领券】,1658117331801,2022-07-18 12:08:51,jd_Maggie ゛,领取了一张优惠券
【用户领券】,1658117339291,2022-07-18 12:08:59,jd_Maggie ゛,领取了一张优惠券
【主播推送商品】,1658117341448,2022-07-18 12:09:01,主播,147号
【主播推送商品】,1658117341586,2022-07-18 12:09:01,主播,147号
【主播推送商品】,1658117341860,2022-07-18 12:09:01,主播,147号
【主播推送商品】,1658117342195,2022-07-18 12:09:02,主播,147号
【用户正在购买】,1658117346804,2022-07-18 12:09:06,jd_Maggie ゛,149号
【用户正在购买】,1658117355915,2022-07-18 12:09:15,jd_414129388,147号
【主播推送商品】,1658117362479,2022-07-18 12:09:22,主播,146号
【主播推送商品】,1658117362737,2022-07-18 12:09:22,主播,146号
【主播推送商品】,1658117362971,2022-07-18 12:09:22,主播,146号
【主播推送商品】,1658117363332,2022-07-18 12:09:23,主播,146号
【主播推送商品】,1658117363824,2022-07-18 12:09:23,主播,146号
【用户正在购买】,1658117377349,2022-07-18 12:09:37,jd_Maggie ゛,142号
【用户分享直播间】,1658117396549,2022-07-18 12:09:56,不知何处去
【主播正在讲解】,1658117409697,2022-07-18 12:10:09,主播,143号
【主播弹幕】,1658117409715,2022-07-18 12:10:09,主播,正在讲解143号宝贝
【主播开始讲解】,1658117409756,2022-07-18 12:10:09,主播,143
【主播结束讲解】,1658117415954,2022-07-18 12:10:15,主播,143
【用户正在购买】,1658117434089,2022-07-18 12:10:34,jd_186705fqw,150号
【用户正在购买】,1658117451983,2022-07-18 12:10:51,jd_Maggie ゛,149号
【用户正在购买】,1658117474757,2022-07-18 12:11:14,jd_186705fqw,149号
【用户正在购买】,1658117516575,2022-07-18 12:11:56,一生只盼,149号
【用户正在购买】,1658117522379,2022-07-18 12:12:02,jd_UCdwRkHCQbOt,147号
【用户正在购买】,1658117554318,2022-07-18 12:12:34,一生只盼,145号
【用户正在购买】,1658117560760,2022-07-18 12:12:40,jd_Maggie ゛,149号
【用户分享直播间】,1658117563844,2022-07-18 12:12:43,jd_471140817
【用户正在购买】,1658117572900,2022-07-18 12:12:52,jd_Maggie ゛,142号
【用户分享直播间】,1658117575376,2022-07-18 12:12:55,jd_471140817
【主播正在讲解】,1658117588439,2022-07-18 12:13:08,主播,143号
【主播弹幕】,1658117588453,2022-07-18 12:13:08,主播,正在讲解143号宝贝
【主播开始讲解】,1658117588473,2022-07-18 12:13:08,主播,143
【用户分享直播间】,1658117614199,2022-07-18 12:13:34,jd_185036ejr
【用户正在购买】,1658117615689,2022-07-18 12:13:35,一生只盼,142号
【用户正在购买】,1658117658095,2022-07-18 12:14:18,一生只盼,141号
【用户领券】,1658117668729,2022-07-18 12:14:28,jd_hBwnaIGxdDwJ,领取了满199减130元券
【用户正在购买】,1658117674463,2022-07-18 12:14:34,一生只盼,141号
【用户正在购买】,1658117679542,2022-07-18 12:14:39,jd_UCdwRkHCQbOt,150号
【主播推送商品】,1658117701429,2022-07-18 12:15:01,主播,143号
【主播推送商品】,1658117701634,2022-07-18 12:15:01,主播,143号
【主播推送商品】,1658117701782,2022-07-18 12:15:01,主播,143号
【用户正在购买】,1658117703351,2022-07-18 12:15:03,樱桃小丸子丸子呀,143号
【用户正在购买】,1658117727269,2022-07-18 12:15:27,一生只盼,140号
【用户正在购买】,1658117740719,2022-07-18 12:15:40,jd_UCdwRkHCQbOt,146号
【用户正在购买】,1658117741587,2022-07-18 12:15:41,一生只盼,140号
【用户正在购买】,1658117753987,2022-07-18 12:15:53,我的心也会痛很善良,143号
【主播推送商品】,1658117757944,2022-07-18 12:15:57,主播,143号
【主播推送商品】,1658117764311,2022-07-18 12:16:04,主播,143号
【主播推送商品】,1658117764458,2022-07-18 12:16:04,主播,143号
【主播推送商品】,1658117764719,2022-07-18 12:16:04,主播,143号
【主播推送商品】,1658117765032,2022-07-18 12:16:05,主播,143号
【用户正在购买】,1658117778642,2022-07-18 12:16:18,jd_724dfbb1db08b,143号
【主播结束讲解】,1658117796790,2022-07-18 12:16:36,主播,143
【用户正在购买】,1658117802452,2022-07-18 12:16:42,一生只盼,140号
【主播推送商品】,1658117807243,2022-07-18 12:16:47,主播,96号
【主播推送商品】,1658117807555,2022-07-18 12:16:47,主播,96号
【主播推送商品】,1658117807743,2022-07-18 12:16:47,主播,96号
【用户正在购买】,1658117810263,2022-07-18 12:16:50,一生只盼,138号
【主播推送商品】,1658117810483,2022-07-18 12:16:50,主播,96号
【主播推送商品】,1658117810770,2022-07-18 12:16:50,主播,96号
【主播推送商品】,1658117811164,2022-07-18 12:16:51,主播,96号
【主播推送商品】,1658117811637,2022-07-18 12:16:51,主播,96号
【主播推送商品】,1658117824178,2022-07-18 12:17:04,主播,96号
【主播推送商品】,1658117824334,2022-07-18 12:17:04,主播,96号
【主播推送商品】,1658117824597,2022-07-18 12:17:04,主播,96号
【主播推送商品】,1658117845332,2022-07-18 12:17:25,主播,96号
【主播推送商品】,1658117845499,2022-07-18 12:17:25,主播,96号
【用户正在购买】,1658117888888,2022-07-18 12:18:08,一生只盼,137号
【用户正在购买】,1658117894233,2022-07-18 12:18:14,jd_FjWKibLqxcFh,150号
【用户正在购买】,1658117900392,2022-07-18 12:18:20,jd_FjWKibLqxcFh,148号
【用户正在购买】,1658117908814,2022-07-18 12:18:28,jd_FjWKibLqxcFh,150号
【主播推送商品】,1658117911665,2022-07-18 12:18:31,主播,96号
【主播推送商品】,1658117911858,2022-07-18 12:18:31,主播,96号
【用户正在购买】,1658117913084,2022-07-18 12:18:33,樱桃小丸子丸子呀,96号
【用户加入购物车】,1658117926696,2022-07-18 12:18:46,jd_FjWKibLqxcFh,148号
【用户正在购买】,1658117960033,2022-07-18 12:19:20,一生只盼,106号
【用户正在购买】,1658117973617,2022-07-18 12:19:33,一生只盼,88号
【用户正在购买】,1658117986546,2022-07-18 12:19:46,一生只盼,147号
【用户正在购买】,1658118019989,2022-07-18 12:20:19,一生只盼,150号
【用户正在购买】,1658118034118,2022-07-18 12:20:34,一生只盼,149号
【用户正在购买】,1658118089419,2022-07-18 12:21:29,一生只盼,148号
【用户正在购买】,1658118095923,2022-07-18 12:21:35,一生只盼,146号
【用户分享直播间】,1658118167134,2022-07-18 12:22:47,jd_颐园阁
【用户正在购买】,1658118236935,2022-07-18 12:23:56,新野爷0806,144号
【用户分享直播间】,1658118237339,2022-07-18 12:23:57,狼-爱上-羊
【用户正在购买】,1658118247892,2022-07-18 12:24:07,新野爷0806,144号
【用户正在购买】,1658118248631,2022-07-18 12:24:08,jd_4266ad5fbc145,145号
【用户领券】,1658118255750,2022-07-18 12:24:15,新野爷0806,领取了满300减200元券
【用户加入购物车】,1658118258456,2022-07-18 12:24:18,jd_4266ad5fbc145,145号
【用户正在购买】,1658118259780,2022-07-18 12:24:19,jd_4266ad5fbc145,145号
【用户正在购买】,1658118284902,2022-07-18 12:24:44,新野爷0806,143号
【用户领券】,1658118316915,2022-07-18 12:25:16,a古灵精怪a,领取了满300减200元券
【用户加入购物车】,1658118346581,2022-07-18 12:25:46,jd_BPynTOe9qwXa6xd,150号
【用户正在购买】,1658118349341,2022-07-18 12:25:49,jd_BPynTOe9qwXa6xd,150号
【用户正在购买】,1658118363709,2022-07-18 12:26:03,a古灵精怪a,110号
【用户正在购买】,1658118373353,2022-07-18 12:26:13,a古灵精怪a,110号
【用户正在购买】,1658118384879,2022-07-18 12:26:24,jd_BPynTOe9qwXa6xd,148号
【用户加入购物车】,1658118424183,2022-07-18 12:27:04,a古灵精怪a,95号
【用户正在购买】,1658118437508,2022-07-18 12:27:17,a古灵精怪a,83号
【用户领券】,1658118447772,2022-07-18 12:27:27,jd_WlTvqEDdqTZp,领取了满199减130元券
【用户领券】,1658118450827,2022-07-18 12:27:30,jd_WlTvqEDdqTZp,领取了满300减200元券
【主播推送商品】,1658118453839,2022-07-18 12:27:33,主播,150号
【主播推送商品】,1658118454011,2022-07-18 12:27:34,主播,150号
【主播推送商品】,1658118454294,2022-07-18 12:27:34,主播,150号
【主播推送商品】,1658118454540,2022-07-18 12:27:34,主播,150号
【主播推送商品】,1658118455072,2022-07-18 12:27:35,主播,150号
【主播推送商品】,1658118455533,2022-07-18 12:27:35,主播,150号
【主播推送商品】,1658118455768,2022-07-18 12:27:35,主播,150号
【主播推送商品】,1658118456946,2022-07-18 12:27:36,主播,150号
【主播推送商品】,1658118457275,2022-07-18 12:27:37,主播,150号
【用户加入购物车】,1658118469359,2022-07-18 12:27:49,a古灵精怪a,75号
【用户加入购物车】,1658118471088,2022-07-18 12:27:51,a古灵精怪a,75号
【用户加入购物车】,1658118485691,2022-07-18 12:28:05,a古灵精怪a,63号
【用户加入购物车】,1658118487210,2022-07-18 12:28:07,a古灵精怪a,63号
【用户正在购买】,1658118489869,2022-07-18 12:28:09,a古灵精怪a,63号
【用户加入购物车】,1658118533001,2022-07-18 12:28:53,a古灵精怪a,63号
【用户正在购买】,1658118539290,2022-07-18 12:28:59,a古灵精怪a,60号
【用户关注】,1658118558403,2022-07-18 12:29:18,zyy257386
【用户关注】,1658118564282,2022-07-18 12:29:24,u_ld2fwgy54f99
【用户正在购买】,1658118566206,2022-07-18 12:29:26,AugLQXdEKaeb,150号
【用户领券】,1658118607119,2022-07-18 12:30:07,jd_4e3db9eae0f23,领取了满300减200元券
【用户正在购买】,1658118608570,2022-07-18 12:30:08,jd_138257ypmw,137号
【用户正在购买】,1658118613835,2022-07-18 12:30:13,jd_138257ypmw,137号
【用户加入购物车】,1658118616545,2022-07-18 12:30:16,肖鑫垚,80号
【用户领券】,1658118616610,2022-07-18 12:30:16,gk成功,领取了满300减200元券
【用户正在购买】,1658118624245,2022-07-18 12:30:24,a古灵精怪a,59号
【用户领券】,1658118632955,2022-07-18 12:30:32,mornica哆,领取了满199减130元券
【用户领券】,1658118633996,2022-07-18 12:30:33,mornica哆,领取了满300减200元券
【用户加入购物车】,1658118642725,2022-07-18 12:30:42,jd_138257ypmw,139号
【用户正在购买】,1658118662297,2022-07-18 12:31:02,jd_138257ypmw,137号
【用户正在购买】,1658118663550,2022-07-18 12:31:03,gk成功,150号
【用户正在购买】,1658118671525,2022-07-18 12:31:11,a古灵精怪a,50号
【主播推送商品】,1658118698868,2022-07-18 12:31:38,主播,150号
【主播推送商品】,1658118699048,2022-07-18 12:31:39,主播,150号
【用户正在购买】,1658118702903,2022-07-18 12:31:42,jd_185138tuf,150号
【用户加入购物车】,1658118705812,2022-07-18 12:31:45,jd_61f13b14aba6a,143号
【用户加入购物车】,1658118707536,2022-07-18 12:31:47,jd_61f13b14aba6a,143号
【用户领券】,1658118714401,2022-07-18 12:31:54,jd_493d055cd6a88,领取了满300减200元券
【主播推送商品】,1658118727586,2022-07-18 12:32:07,主播,150号
【主播推送商品】,1658118727650,2022-07-18 12:32:07,主播,150号
【用户正在购买】,1658118757017,2022-07-18 12:32:37,东娃他妈,150号
【用户正在购买】,1658118778012,2022-07-18 12:32:58,东娃他妈,139号
【主播推送商品】,1658118782956,2022-07-18 12:33:02,主播,150号
【主播推送商品】,1658118783094,2022-07-18 12:33:03,主播,150号
【用户正在购买】,1658118794013,2022-07-18 12:33:14,东娃他妈,132号
【主播推送商品】,1658118800010,2022-07-18 12:33:20,主播,150号
【主播推送商品】,1658118800162,2022-07-18 12:33:20,主播,150号
【用户正在购买】,1658118805368,2022-07-18 12:33:25,东娃他妈,119号
【用户正在购买】,1658118807668,2022-07-18 12:33:27,东娃他妈,118号
【用户正在购买】,1658118821664,2022-07-18 12:33:41,一生只盼,150号
【用户正在购买】,1658118832853,2022-07-18 12:33:52,一生只盼,148号
【用户正在购买】,1658118841466,2022-07-18 12:34:01,余莫西hvnxi,130号
【用户加入购物车】,1658118846458,2022-07-18 12:34:06,东娃他妈,55号
【用户加入购物车】,1658118850377,2022-07-18 12:34:10,余莫西hvnxi,130号
【用户正在购买】,1658118851251,2022-07-18 12:34:11,余莫西hvnxi,130号
【用户正在购买】,1658118853058,2022-07-18 12:34:13,一生只盼,148号
【用户正在购买】,1658118865799,2022-07-18 12:34:25,一生只盼,147号
【用户正在购买】,1658118866163,2022-07-18 12:34:26,东娃他妈,27号
【用户正在购买】,1658118875072,2022-07-18 12:34:35,东娃他妈,20号
【用户加入购物车】,1658118880820,2022-07-18 12:34:40,一生只盼,150号
【主播推送商品】,1658118883150,2022-07-18 12:34:43,主播,150号
【主播推送商品】,1658118883300,2022-07-18 12:34:43,主播,150号
【主播推送商品】,1658118883578,2022-07-18 12:34:43,主播,150号
【用户正在购买】,1658118884895,2022-07-18 12:34:44,一生只盼,145号
【用户加入购物车】,1658118889306,2022-07-18 12:34:49,AugLQXdEKaeb,150号
【用户加入购物车】,1658118891834,2022-07-18 12:34:51,东娃他妈,1号
【用户正在购买】,1658118892448,2022-07-18 12:34:52,AugLQXdEKaeb,150号
【用户分享直播间】,1658118899646,2022-07-18 12:34:59,--陌路MISS菲宝
【用户正在购买】,1658118930073,2022-07-18 12:35:30,jd_414129388,150号
【用户正在购买】,1658118965494,2022-07-18 12:36:05,一生只盼,150号
【用户正在购买】,1658118980000,2022-07-18 12:36:20,jd_414129388,150号
【用户领券】,1658118995764,2022-07-18 12:36:35,jd_RhUwIgXVstdQ,领取了满300减200元券
【用户关注】,1658119002899,2022-07-18 12:36:42,jd_XfeJymBSIVoq
【用户领券】,1658119005009,2022-07-18 12:36:45,jd_XfeJymBSIVoq,领取了满129元打9折券
【用户正在购买】,1658119008151,2022-07-18 12:36:48,jd_HkCNLVhfVYDX,13号
【用户关注】,1658119010747,2022-07-18 12:36:50,jd159618jxc
【用户正在购买】,1658119019406,2022-07-18 12:36:59,jd_XfeJymBSIVoq,147号
【用户加入购物车】,1658119030574,2022-07-18 12:37:10,jd159618jxc,105号
【用户正在购买】,1658119031798,2022-07-18 12:37:11,一生只盼,145号
【用户正在购买】,1658119037991,2022-07-18 12:37:17,一生只盼,150号
【用户正在购买】,1658119040283,2022-07-18 12:37:20,微风ove,105号
【用户正在购买】,1658119058674,2022-07-18 12:37:38,jd159618jxc,105号
【用户正在购买】,1658119063280,2022-07-18 12:37:43,jd_414129388,149号
【用户关注】,1658119064954,2022-07-18 12:37:44,微风ove
【用户正在购买】,1658119067890,2022-07-18 12:37:47,jd_414129388,148号
【用户正在购买】,1658119079159,2022-07-18 12:37:59,jd_414129388,150号
【用户加入购物车】,1658119079195,2022-07-18 12:37:59,lsz21,150号
【用户正在购买】,1658119082604,2022-07-18 12:38:02,lsz21,150号
【用户正在购买】,1658119088665,2022-07-18 12:38:08,lsz21,150号
【用户领券】,1658119096135,2022-07-18 12:38:16,一生只盼,领取了满199减130元券
【用户正在购买】,1658119106726,2022-07-18 12:38:26,樱桃小丸子丸子呀,149号
【用户正在购买】,1658119108830,2022-07-18 12:38:28,樱桃小丸子丸子呀,148号
【用户正在购买】,1658119120463,2022-07-18 12:38:40,樱桃小丸子丸子呀,150号
【用户正在购买】,1658119157461,2022-07-18 12:39:17,Lillya1,150号
【用户关注】,1658119172195,2022-07-18 12:39:32,jd_twBHUyGcfWMp
【用户正在购买】,1658119196052,2022-07-18 12:39:56,jd_414129388,146号
【用户正在购买】,1658119201254,2022-07-18 12:40:01,一生只盼,137号
【用户关注】,1658119203852,2022-07-18 12:40:03,lsz21
【用户领券】,1658119208501,2022-07-18 12:40:08,cj734388050,领取了满199减130元券
【用户正在购买】,1658119209068,2022-07-18 12:40:09,阿秋zd,150号
【用户关注】,1658119212448,2022-07-18 12:40:12,jd_twBHUyGcfWMp
【用户正在购买】,1658119273026,2022-07-18 12:41:13,阿秋zd,149号
【用户正在购买】,1658119276234,2022-07-18 12:41:16,阿秋zd,150号
【用户正在购买】,1658119276388,2022-07-18 12:41:16,lsz21,150号
【主播推送商品】,1658119298575,2022-07-18 12:41:38,主播,145号
【用户正在购买】,1658119322349,2022-07-18 12:42:02,小张跑不快,145号
【用户领券】,1658119337868,2022-07-18 12:42:17,lsz21,领取了满199减130元券
【用户加入购物车】,1658119340750,2022-07-18 12:42:20,lsz21,150号
【用户正在购买】,1658119342227,2022-07-18 12:42:22,lsz21,150号
【用户加入购物车】,1658119357441,2022-07-18 12:42:37,AugLQXdEKaeb,150号
【用户正在购买】,1658119387433,2022-07-18 12:43:07,lsz21,150号
【实时弹幕】,1658119417382,2022-07-18 12:43:37,AugLQXdEKaeb,买那个最合适
【主播推送商品】,1658119450297,2022-07-18 12:44:10,主播,145号
【主播推送商品】,1658119450473,2022-07-18 12:44:10,主播,145号
【主播推送商品】,1658119450937,2022-07-18 12:44:10,主播,145号
【主播推送商品】,1658119451482,2022-07-18 12:44:11,主播,145号
【主播推送商品】,1658119455573,2022-07-18 12:44:15,主播,145号
【主播推送商品】,1658119455889,2022-07-18 12:44:15,主播,145号
【主播推送商品】,1658119456309,2022-07-18 12:44:16,主播,145号
【主播推送商品】,1658119456868,2022-07-18 12:44:16,主播,145号
【主播推送商品】,1658119457468,2022-07-18 12:44:17,主播,145号
【用户正在购买】,1658119458811,2022-07-18 12:44:18,肖腾zzz,150号
【实时弹幕】,1658119474903,2022-07-18 12:44:34,AugLQXdEKaeb,怎么到手125
【主播推送商品】,1658119476016,2022-07-18 12:44:36,主播,145号
【主播推送商品】,1658119476452,2022-07-18 12:44:36,主播,145号
【主播推送商品】,1658119476744,2022-07-18 12:44:36,主播,145号
【主播推送商品】,1658119477245,2022-07-18 12:44:37,主播,145号
【主播推送商品】,1658119477806,2022-07-18 12:44:37,主播,145号
【实时弹幕】,1658119481498,2022-07-18 12:44:41,AugLQXdEKaeb,150号
【用户加入购物车】,1658119487633,2022-07-18 12:44:47,肖腾zzz,149号
【用户正在购买】,1658119499396,2022-07-18 12:44:59,lsz21,148号
【用户领券】,1658119502718,2022-07-18 12:45:02,jd_186729egm,领取了满300减200元券
【用户领券】,1658119504378,2022-07-18 12:45:04,jd_186729egm,领取了满199减130元券
【用户正在购买】,1658119517351,2022-07-18 12:45:17,樱桃小丸子丸子呀,150号
【实时弹幕】,1658119521375,2022-07-18 12:45:21,lsz21,148和150啥区别
【主播推送商品】,1658119565181,2022-07-18 12:46:05,主播,150号
【主播推送商品】,1658119565489,2022-07-18 12:46:05,主播,150号
【主播推送商品】,1658119566023,2022-07-18 12:46:06,主播,150号
【主播推送商品】,1658119566463,2022-07-18 12:46:06,主播,150号
【主播推送商品】,1658119567818,2022-07-18 12:46:07,主播,150号
【主播推送商品】,1658119570774,2022-07-18 12:46:10,主播,150号
【主播推送商品】,1658119571454,2022-07-18 12:46:11,主播,150号
【主播推送商品】,1658119571964,2022-07-18 12:46:11,主播,150号
【主播推送商品】,1658119572477,2022-07-18 12:46:12,主播,150号
【主播推送商品】,1658119572771,2022-07-18 12:46:12,主播,150号
【主播推送商品】,1658119573920,2022-07-18 12:46:13,主播,150号
【用户加入购物车】,1658119577045,2022-07-18 12:46:17,AugLQXdEKaeb,150号
【主播推送商品】,1658119581303,2022-07-18 12:46:21,主播,145号
【用户正在购买】,1658119599293,2022-07-18 12:46:39,lsz21,150号
【实时弹幕】,1658119602927,2022-07-18 12:46:42,AugLQXdEKaeb,入会需要充值吗？
【用户正在购买】,1658119635539,2022-07-18 12:47:15,lsz21,148号
【用户关注】,1658119643699,2022-07-18 12:47:23,AugLQXdEKaeb
【用户正在购买】,1658119676007,2022-07-18 12:47:56,樱桃小丸子丸子呀,149号
【用户加入购物车】,1658119717542,2022-07-18 12:48:37,AugLQXdEKaeb,150号
【用户正在购买】,1658119718667,2022-07-18 12:48:38,AugLQXdEKaeb,150号
【用户正在购买】,1658119727880,2022-07-18 12:48:47,jd_xFRlesmCVGdg,147号
【用户正在购买】,1658119746737,2022-07-18 12:49:06,jd_xFRlesmCVGdg,146号
【用户正在购买】,1658119766169,2022-07-18 12:49:26,jd_xFRlesmCVGdg,136号
【用户正在购买】,1658119830614,2022-07-18 12:50:30,jd_xFRlesmCVGdg,129号
【用户领券】,1658119833540,2022-07-18 12:50:33,林真心哟,领取了满199减130元券
【用户领券】,1658119837076,2022-07-18 12:50:37,林真心哟,领取了满300减200元券
【主播正在讲解】,1658119882617,2022-07-18 12:51:22,主播,147号
【主播弹幕】,1658119882647,2022-07-18 12:51:22,主播,正在讲解147号宝贝
【主播开始讲解】,1658119882658,2022-07-18 12:51:22,主播,147
【用户正在购买】,1658119902061,2022-07-18 12:51:42,jd_xFRlesmCVGdg,85号
【用户正在购买】,1658119962788,2022-07-18 12:52:42,u_2euqzsen6xw6,147号
【用户正在购买】,1658120001954,2022-07-18 12:53:21,u_59nk9v1f197p,147号
【主播推送商品】,1658120007956,2022-07-18 12:53:27,主播,147号
【主播推送商品】,1658120008037,2022-07-18 12:53:28,主播,147号
【用户正在购买】,1658120018746,2022-07-18 12:53:38,樱桃小丸子丸子呀,147号
【用户正在购买】,1658120030267,2022-07-18 12:53:50,jd_152560rcl,32号
【主播推送商品】,1658120097864,2022-07-18 12:54:57,主播,147号
【主播推送商品】,1658120098002,2022-07-18 12:54:58,主播,147号
【主播推送商品】,1658120122703,2022-07-18 12:55:22,主播,147号
【主播推送商品】,1658120122953,2022-07-18 12:55:22,主播,147号
【主播推送商品】,1658120123143,2022-07-18 12:55:23,主播,147号
【主播推送商品】,1658120130552,2022-07-18 12:55:30,主播,147号
【主播推送商品】,1658120130676,2022-07-18 12:55:30,主播,147号
【主播推送商品】,1658120176095,2022-07-18 12:56:16,主播,147号
【主播推送商品】,1658120176515,2022-07-18 12:56:16,主播,147号
【主播推送商品】,1658120176762,2022-07-18 12:56:16,主播,147号
【主播推送商品】,1658120176952,2022-07-18 12:56:16,主播,147号
【主播推送商品】,1658120177159,2022-07-18 12:56:17,主播,147号
【主播结束讲解】,1658120181701,2022-07-18 12:56:21,主播,147
【用户正在购买】,1658120224383,2022-07-18 12:57:04,jd_176052hva,138号
【主播正在讲解】,1658120326518,2022-07-18 12:58:46,主播,143号
【主播弹幕】,1658120326530,2022-07-18 12:58:46,主播,正在讲解143号宝贝
【主播开始讲解】,1658120326561,2022-07-18 12:58:46,主播,143
【用户正在购买】,1658120404699,2022-07-18 13:00:04,jd_176052hva,147号
【主播推送商品】,1658120423231,2022-07-18 13:00:23,主播,143号
【主播推送商品】,1658120423450,2022-07-18 13:00:23,主播,143号
【用户正在购买】,1658120468730,2022-07-18 13:01:08,jd_176052hva,149号
【主播推送商品】,1658120486662,2022-07-18 13:01:26,主播,143号
【主播推送商品】,1658120486785,2022-07-18 13:01:26,主播,143号
